Fe,Si,B,Cu,Nb,Mo,Zr,Al,C,P,Co,V,TA,tA,magnetic saturation (T)
84.4,0,15,0.6,0,0,0,0,0,0,0,0,553,1200,1.59
85,0,15,0,0,0,0,0,0,0,0,0,533,1200,1.57
83.8,0,15,1.2,0,0,0,0,0,0,0,0,533,1200,1.65
85,0,15,0,0,0,0,0,0,0,0,0,553,1200,1.56
81.3,6,11,1.7,0,0,0,0,0,0,0,0,698,3600,1.75
82.5,0,9,1.5,0,0,0,0,4,3,0,0,775,360,1.76
85.5,0,7,0.5,0,0,0,0,7,0,0,0,703,90,1.81
83.3,4,9,0.7,0,0,0,0,0,3,0,0,783,900,1.775
85,2,10,1,0,0,0,0,0,2,0,0,743,600,1.87
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,776,600,1.74
81.3,0,17,1.7,0,0,0,0,0,0,0,0,653,3600,1.71
85,0,15,0,0,0,0,0,0,0,0,0,573,1200,1.56
84.4,0,15,0.6,0,0,0,0,0,0,0,0,573,1200,1.63
84,0,5,0,1,0,0,0,0,10,0,0,713,600,1.62
83.3,0,9,0.7,0,0,0,0,4,3,0,0,773,720,1.86
81,4,13,2,0,0,0,0,0,0,0,0,698,3600,1.770580475
83.3,3,9,0.7,0,0,0,0,1,3,0,0,623,360,1.68
80.8,0,10,1.2,0,0,0,0,0,8,0,0,722,600,1.661351745
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,769,600,1.79
85,0,1,0.5,0.5,0,0,0,2,11,0,0,776,600,1.68
81,6,10,1,0,0,0,0,0,2,0,0,743,300,1.745652174
84,0,5,0,1,0,0,0,0,10,0,0,693,600,1.65
84,0,9,0,7,0,0,0,0,0,0,0,923,3600,1.5
83.3,0,9,0.7,0,0,0,0,4,3,0,0,705,360,1.76
83.8,0,15,1.2,0,0,0,0,0,0,0,0,573,1200,1.61
84.8,0,8,1.2,0,0,0,0,0,6,0,0,723,600,1.761351038
84,0,1,0.5,1.5,0,0,0,2,11,0,0,802,600,1.61
