Fe,Si,B,Cu,Nb,Mo,Zr,Al,C,P,Co,V,TA,tA,ln(Coercivity (A/m))
84.4,0,15,0.6,0,0,0,0,0,0,0,0,553,1200,3.583518938
85,0,15,0,0,0,0,0,0,0,0,0,533,1200,3.555348061
83.8,0,15,1.2,0,0,0,0,0,0,0,0,533,1200,3.526360525
85,0,15,0,0,0,0,0,0,0,0,0,553,1200,3.465735903
81.3,6,11,1.7,0,0,0,0,0,0,0,0,698,3600,3.433987204
82.5,0,9,1.5,0,0,0,0,4,3,0,0,775,360,3.401197382
85.5,0,7,0.5,0,0,0,0,7,0,0,0,703,90,3.401197382
83.3,4,9,0.7,0,0,0,0,0,3,0,0,783,900,3.346389145
85,2,10,1,0,0,0,0,0,2,0,0,743,600,3.33220451
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,776,600,3.330059354
81.3,0,17,1.7,0,0,0,0,0,0,0,0,653,3600,3.295836866
85,0,15,0,0,0,0,0,0,0,0,0,573,1200,3.218875825
84.4,0,15,0.6,0,0,0,0,0,0,0,0,573,1200,3.218875825
84,0,5,0,1,0,0,0,0,10,0,0,713,600,3.218875825
83.3,0,9,0.7,0,0,0,0,4,3,0,0,773,720,3.104586678
81,4,13,2,0,0,0,0,0,0,0,0,698,3600,3.090135936
83.3,3,9,0.7,0,0,0,0,1,3,0,0,623,360,3.086486637
80.8,0,10,1.2,0,0,0,0,0,8,0,0,722,600,3.085650469
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,769,600,3.048798994
85,0,1,0.5,0.5,0,0,0,2,11,0,0,776,600,3.020912572
81,6,10,1,0,0,0,0,0,2,0,0,743,300,3.011282895
84,0,5,0,1,0,0,0,0,10,0,0,693,600,2.995732274
84,0,9,0,7,0,0,0,0,0,0,0,923,3600,2.995732274
83.3,0,9,0.7,0,0,0,0,4,3,0,0,705,360,2.995732274
83.8,0,15,1.2,0,0,0,0,0,0,0,0,573,1200,2.944438979
84.8,0,8,1.2,0,0,0,0,0,6,0,0,723,600,2.917850746
84,0,1,0.5,1.5,0,0,0,2,11,0,0,802,600,2.904712875
85,2,8,1,0,0,0,0,0,4,0,0,747.8434238,600,2.891712795
85,0,15,0,0,0,0,0,0,0,0,0,613,1200,2.890371758
85.5,0,1,0.5,0,0,0,0,2,11,0,0,751,600,2.890371758
84,0,5,1,1,0,0,0,0,9,0,0,653,600,2.833213344
84,1,5,0,1,0,0,0,0,9,0,0,653,600,2.833213344
84,0,5,0,1,0,0,0,0,10,0,0,653,600,2.833213344
84,1,5,0,1,0,0,0,0,9,0,0,713,600,2.833213344
83.25,0,0,0.75,0,0,0,0,7,9,0,0,743,600,2.824504381
84,0,5,1,1,0,0,0,0,9,0,0,633,600,2.821378886
81.3,4,13,1.7,0,0,0,0,0,0,0,0,698,3600,2.79647291
84,0,5,0,1,0,0,0,0,10,0,0,673,600,2.785011242
82.7,0,9,1.3,0,0,0,0,4,3,0,0,705,360,2.772588722
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,1033,300,2.753660712
83.5,0,10,0.5,0,0,0,0,6,0,0,0,703,180,2.708050201
82.7,0,10,1.3,0,0,0,0,6,0,0,0,703,180,2.708050201
82.7,0,9,1.3,0,0,0,0,4,3,0,0,775,360,2.708050201
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,583.3639179,3600,2.680145235
82.25,0,0,0.75,1,0,0,0,7,9,0,0,744,600,2.677138935
83.3,0,9,0.7,0,0,0,0,4,3,0,0,650,360,2.63905733
83.1,0,9,0.9,0,0,0,0,4,3,0,0,705,360,2.63905733
85,2,8,1,0,0,0,0,0,4,0,0,702.9582463,600,2.628636943
85.5,0,1,0.5,0,0,0,0,2,11,0,0,604,600,2.624668592
84,0,10,0,0,0,0,0,6,0,0,0,703,180,2.602689685
83.3,4,9,0.7,0,0,0,0,0,3,0,0,783,720,2.587764035
80.8,0,10,1.2,0,0,0,0,0,8,0,0,698,600,2.572929091
86,0,6,1,0,0,7,0,0,0,0,0,770,3600,2.565160586
84.4,0,15,0.6,0,0,0,0,0,0,0,0,613,1200,2.564949357
82,1,16,1,0,0,0,0,0,0,0,0,653,60,2.564949357
83.3,0,9,0.7,0,0,0,0,4,3,0,0,773,540,2.557227311
84.8,0,8,1.2,0,0,0,0,0,6,0,0,648,600,2.535640265
81,4,13,2,0,0,0,0,0,0,0,0,683,3600,2.529506522
81,4,10,1,0,0,0,0,0,4,0,0,743,300,2.527324177
85.5,0,1,0.5,0,0,0,0,2,11,0,0,744,600,2.509599262
85,2,8,1,0,0,0,0,0,4,0,0,742.8329854,600,2.505155648
85,2,8,1,0,0,0,0,0,4,0,0,712.7703549,600,2.501315321
84,0,10,0,0,0,0,0,6,0,0,0,493,180,2.48490665
84,1,5,0,1,0,0,0,0,9,0,0,673,600,2.48490665
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,756,600,2.48490665
82.9,0,9,1.1,0,0,0,0,4,3,0,0,705,360,2.48490665
83.3,3,10,0.7,0,0,0,0,0,3,0,0,653,600,2.468099531
81,2,10,1,0,0,0,0,0,6,0,0,743,300,2.466129949
85.5,0,1,0.5,0,0,0,0,2,11,0,0,644,600,2.451005098
83.3,4,9,0.7,0,0,0,0,0,3,0,0,783,540,2.451005098
84.5,0,1,0.5,1,0,0,0,2,11,0,0,777,600,2.442347035
83.3,0,9,0.7,0,0,0,0,4,3,0,0,773,180,2.442347035
83,1,15,1,0,0,0,0,0,0,0,0,653,60,2.424802726
83.3,4,9,0.7,0,0,0,0,0,3,0,0,783,180,2.424802726
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,843,300,2.424802726
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,843,300,2.406945108
84,0,5,1,1,0,0,0,0,9,0,0,673,600,2.397895273
84,1,14,1,0,0,0,0,0,0,0,0,653,60,2.397895273
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,843,300,2.397895273
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,883,300,2.397895273
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,683.5826558,3600,2.392986817
81,4,13,2,0,0,0,0,0,0,0,0,668,3600,2.382675009
84.3,4,8,0.7,0,0,0,0,0,3,0,0,747.7656728,600,2.364473797
83.3,2,9,0.7,0,0,0,0,2,3,0,0,623,360,2.351375257
86,0,6,1,0,0,7,0,0,0,0,0,724,3600,2.322783208
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,620,300,2.32238772
