Fe,Si,C,Al,B,P,Ga,Ge,Cu,Ag,Au,Ti,V,Cr,Zr,Nb,Mo,Hf,W,TA,tA,ln(Ribbon Thickness (μm))
75.5,10.5,0,0,10,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813,3600,3.135494216
73.5,14.5,0,0,8,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813,3600,3.135494216
73.5,15.5,0,0,7,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813,3600,3.135494216
72.5,16.5,0,0,7,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813,3600,3.135494216
73.5,17.5,0,0,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813,3600,3.135494216
72.5,18.5,0,0,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813,3600,3.135494216
71.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,5,0,0,0,753,3600,3.135494216
71.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,5,0,0,0,773,3600,3.135494216
71.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,5,0,0,0,793,3600,3.135494216
71.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,5,0,0,0,803,3600,3.135494216
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,753,3600,3.135494216
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,3.135494216
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,793,3600,3.135494216
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,803,3600,3.135494216
74.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,753,3600,3.135494216
74.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,773,3600,3.135494216
74.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,793,3600,3.135494216
74.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,803,3600,3.135494216
75.5,10.5,0,0,10,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,3.135494216
73.5,14.5,0,0,8,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,3.135494216
73.5,15.5,0,0,7,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,3.135494216
72.5,16.5,0,0,7,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,3.135494216
73.5,17.5,0,0,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,3.135494216
72.5,18.5,0,0,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,3.135494216
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,3.401197382
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,793,3600,3.401197382
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,803,3600,3.401197382
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,573.5485671,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,624.1604661,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,673.4110315,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,693.5177782,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,713.6307901,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,723.7101192,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,732.7292906,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,743.1218786,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,753.492986,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,762.8204937,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,772.8027125,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,792.8575477,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,792.5120679,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,822.9849994,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,873.6107713,3600,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,1783.864091,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3565.144371,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,10699.05045,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,17893.9345,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,50377.62418,3.044522438
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813,3600,2.944438979
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,1.5,1.5,0,0,813,3600,2.944438979
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,1,2,0,0,813,3600,2.944438979
73.5,13.6,0,0,9.1,0,0,0,0.8,0,0,0,0,0,0,0,3,0,0,813,3600,2.944438979
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,728,3600,2.995732274
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,743,3600,2.995732274
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,2.995732274
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,798,3600,2.995732274
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823,3600,2.995732274
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,848,3600,2.995732274
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,873,3600,2.995732274
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,903,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,763,3600,2.862200881
74,13.5,0,0,9,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,843,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,853,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,723.018904,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,741.5357741,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,772.6714525,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,823.6104331,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,842.4441254,3600,2.862200881
73,13.5,0,0,9,0,0,0,1.5,0,0,0,0,0,0,3,0,0,0,833,3600,2.862200881
73.5,16.5,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,853,3600,2.862200881
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813.15,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1173.15,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,973.15,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,813.15,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,853.15,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,803.15,3600,2.995732274
73.5,16.5,0,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813.15,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,753.7266,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,773.15,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,793.7873,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,813.2107,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,833.241,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,844.1667,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,863.5901,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,881.7995,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,903.6508,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,933.9998,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,973.4535,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1072.391,3600,2.995732274
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1173.757,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,772.543,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,795.0013,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,802.2851,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,812.6037,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,823.5294,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,832.6341,3600,2.995732274
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,842.9527,3600,2.995732274
