Fe,Si,B,Cu,Nb,Mo,Zr,Al,C,P,Co,V,Hf,Y,W,Ga,Ge,Au,Ag,HR,Tx2
52,2,13,1,4,0,0,0,0,0,28,0,0,0,0,0,0,0,0,5,936
52.65,2,12,1,4,0,0,0,0,0,28.35,0,0,0,0,0,0,0,0,5,942
53.3,2,11,1,4,0,0,0,0,0,28.7,0,0,0,0,0,0,0,0,5,944
53.95,2,10,1,4,0,0,0,0,0,29.05,0,0,0,0,0,0,0,0,5,952
53.95,2,13,1,1,0,0,0,0,0,29.05,0,0,0,0,0,0,0,0,5,828
54.6,2,12,1,1,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,5,830
55.25,2,11,1,1,0,0,0,0,0,29.75,0,0,0,0,0,0,0,0,5,848
55.9,2,10,1,1,0,0,0,0,0,30.1,0,0,0,0,0,0,0,0,5,851
83,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,646
83,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,657
83,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,15,663
83,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,20,668
84,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,766
83.5,0,10,0.5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,770
83.3,0,10,0.7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,770
83,0,10,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,770
82.85,0,10,1.15,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,770
82.7,0,10,1.3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,761
83,0,10,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,770
83,1,10,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,40,794
83,2,10,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,40,799
83,3,10,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,40,804
83,4,10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,40,809
86,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,40,737
85.5,0,7,0.5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,40,740
85.5,1,7,0.5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,775
85,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,723
84.4,0,15,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,712
83.8,0,15,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,718
83.5,0,15,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,721
83.2,0,0,0.8,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,40,759
79.2,0,0,0.8,0,0,0,0,6,10,4,0,0,0,0,0,0,0,0,40,761
77.2,0,0,0.8,0,0,0,0,6,10,6,0,0,0,0,0,0,0,0,40,760
75.2,0,0,0.8,0,0,0,0,6,10,8,0,0,0,0,0,0,0,0,40,757
73.2,0,0,0.8,0,0,0,0,6,10,10,0,0,0,0,0,0,0,0,40,755
83.2,0,0,0.8,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,40,756
83.2,0,1,0.8,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,40,763
83.2,0,2,0.8,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,40,768
83.2,0,3,0.8,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,40,774
83.2,0,4,0.8,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,40,779
83.2,0,5,0.8,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,40,780
81.3,8,9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,815
81.3,6,11,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,809
81.3,4,13,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,799
81.3,2,15,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,783
81.3,0,17,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,742
84,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1078
84,0,7,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,40,1047
84,0,5,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,40,1000
84,0,3,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,40,956
84,0,5,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,40,1002
84,0,5,0,5,0,0,0,0,4,0,0,2,0,0,0,0,0,0,40,1013
84,0,5,0,3.5,0,0,0,0,4,0,0,3.5,0,0,0,0,0,0,40,1028
68,1,12,0.5,0,0,0,0,0,0,17,0.5,0,1,0,0,0,0,0,20,847
68.8,1,11,0.5,0,0,0,0,0,0,17.2,0.5,0,1,0,0,0,0,0,20,851
69.6,1,10,0.5,0,0,0,0,0,0,17.4,0.5,0,1,0,0,0,0,0,40,859
69.6,1,10,0.5,0,0,0,0,0,0,17.4,0.5,0,1,0,0,0,0,0,30,856
69.6,1,10,0.5,0,0,0,0,0,0,17.4,0.5,0,1,0,0,0,0,0,20,850
69.6,1,10,0.5,0,0,0,0,0,0,17.4,0.5,0,1,0,0,0,0,0,10,844
83,0,4,1,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,40,774
84,0,3.75,1,0,0,0,0,3.75,7.5,0,0,0,0,0,0,0,0,0,40,785
84.5,0,3.625,1,0,0,0,0,3.625,7.25,0,0,0,0,0,0,0,0,0,40,785
85,0,3.5,1,0,0,0,0,3.5,7,0,0,0,0,0,0,0,0,0,40,787
83.3,0,9,0.7,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,20,800
83.3,1,9,0.7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,20,812
83.3,2,9,0.7,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,20,823
83.3,3,9,0.7,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,20,832
83.3,4,9,0.7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,836
84,1,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,775
83,1,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,775
82,1,14,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,40,780
82,1,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,775
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,40,865
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,0,0,0,0,0,0,0,40,857
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,0,0,0,0,0,0,0,40,854
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,0,0,0,0,0,0,0,40,848
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,40,839
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,0,0,0,0,0,0,0,40,831
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,0,0,0,0,0,0,0,40,816
83.3,4,8,0.7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,40,818
83.5,1,9.2,0.8,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,20,802
83.7,1,9.2,0.6,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,20,802
83.8,1,9.2,0.5,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,20,803
83.9,1,9.2,0.4,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,20,804
84.1,1,9.2,0.2,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,20,776
84.3,1,9.2,0,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,20,768
83,3,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,814
83,3,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,815
83,3,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,815
83,3,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,815
